Meme ID	Literary Author	Caption Text	Humor Type	Themes/Motifs	Date Posted	Source URL	Likes	Comments	Shares
Instagram	Virginia Woolf	There are two wolves inside you. One is Virginia Woolf. The other is Beowulf. You are an introduction to English Literature syllabus	Philosophical	Duality	2/20/2024	https://www.instagram.com/tarawinequeenwrites/p/C-q1nwZgX3U/?img_index=1	133547	10	0
Facebook	George Burnerd Shaw	"Progress is impossible without change, and those who cannot change their minds cannot change anything."	Philosophical	Change and Growth	3/1/2024	https://www.facebook.com/photo?fbid=1141145688015508&set=a.212065264256893	3800	57	1400
Facebook	Albert Camus	"As for myself, I had a lot to say. But I was silent."	Ironic	Conflict	3/5/2024	https://www.facebook.com/photo?fbid=1141771761286234&set=a.212065264256893	540	12	109
Facebook	Oscar Wilde	"Humanity takes itself too seriously. It is the world's original sin. If the caveman had known how to laugh, history would have been different."	Parodic	The Human Condition	3/10/2024	https://www.facebook.com/photo/?fbid=920982346729881&set=a.458703109624476	107	11	26
Instagram	F. Scott Fitzgerald	"Where does one begin? If you chance upon encountering a plebian who believes that Fitzgerald's masterpiece is merely ""a romance novel"" you should discard that person from your memory, similarly to how Nick discarded his dog, his Finnish cleaner, his engagement to a woman in the Midwest, and many other things from his immediate recollection. The brilliance of Fitzgerald is his amazing ability to incorporate real-life things into an imaginary setting. He expertly captures both the disillusion of post-war America and the moral failure of a society obsessed with nature. The complex love-triangle is only a base for the themes to grow and blossom on, and anyone who sees it as a clich‚ love story ought to go back to reading ""Biff, Chip & Kipper"" in primary school to learn about what makes a good story."	Critical	Disillusionment and Societal Decay	3/15/2024	https://www.instagram.com/p/BeJFuTzlL3n/	37	3	0
Facebook	George Eliot 	It is never too late to be what you might have been	Ironic	Redemption	3/20/2024	https://www.facebook.com/photo/?fbid=456403450763165&set=a.318791487857696	86	1	21
Facebook	Mary Shelley 	"Solitude was my only consolation- deep, dark, deathalike solitude"	Satirical	Isolation	3/25/2024	https://www.facebook.com/photo/?fbid=122146869956275247&set=a.122118253712275247	0	0	1
Instagram	Gabriel Garc¡a M rquez	One Hundred Years of Solitude? I didn't know this Gabriel Garc¡a M rquez fella wrote a book about my dating life.	Parodic	Isolation and Connection	3/30/2024	https://www.instagram.com/northavecandles/p/C5ZEEpzA4sL/?img_index=1	54	5	0
Facebook	Jane Austen	"Jane Austen's works are timeless classics, because she knew the real horrors in life are having to listen to men who think they're better than you and receiving unannounced visitors."	Satirical	Social Class and Gender	27/10/2024	https://www.facebook.com/photo/?fbid=122173773638137798&set=a.122111143064137798	185	7	47
Facebook	Hippocrates	"Make a habit of two things-to help or at least, to do no harm."	Philosophical	Ethics and Morality	30/09/2024	https://www.facebook.com/photo/?fbid=474607578911510&set=a.248949941477276	5000	78	1800
Facebook	Voltaire	"Everything you say should be true, but not everything true should be said"	Philosophical	Honesty and Discretion	22/11/2024	https://www.facebook.com/photo/?fbid=122200606172210852&set=a.122141934824210852	28	0	7
Facebook	Aristotle	Educating the mind without educating the heart is no education at all	Philosophical	Wisdom	16/11/2024	https://www.facebook.com/photo?fbid=509617598743841&set=a.248949941477276	48	0	28
Facebook	Sigmund Freud	"Most People do not really want freedom, because freedom involves responsibility, and most people are frigthened of responsibiities"	Critical	Freedom and Responsibility	15/11/2024	https://www.facebook.com/photo/?fbid=508897002149234&set=a.248949941477276	42	3	18
Facebook	Augustine of Hippo	It was pride that changed angels into devils	Philosophical	Pride and Fall	10/12/2024	https://www.facebook.com/photo/?fbid=503528892746471&set=gm.1104448004543192&idorvanity=929347525386575	362	118	77
Facebook	Shakespeare 	Oxford Dictionary in the streets..Urban Dictionaries in the sheets	Satirical	Language and Modernity	11/7/2024	https://www.facebook.com/photo/?fbid=122202423410006340&set=a.122127625130006340	676	9	248
Instagram	Shakespeare	WhenHamlet accidently stabs you through the tapestry	Ironic	Tragedy and Consequence	13/04/2021	https://www.instagram.com/p/CNm_T59gSXu/	135	0	0
Facebook	Homer 	Even a fool learns something once it hits him	Critical	Knowledge through Experience	20/10/2024	https://www.facebook.com/photo/?fbid=571150221982401&set=gm.2855469331286272&idorvanity=1940945629405318	791	34	193
Facebook	Emily Dickinson 	Hope is the thing with feathers... And never stops at all.	Philosophical	Hope and Resilience	29/11/2024	https://www.facebook.com/photo/?fbid=540574265482913&set=gm.1077625170572483&idorvanity=510981490570190	166	0	42
Instagram	Mark Twain 	The ghost of Mark Twain manifesting in my home after I called him the ?Colonel Sanders of literature	Parodic	Satire and Literary Legacy	24/09/2020	https://www.instagram.com/p/CFhdbQfg8Wo/	4521	9	0
Instagram	Leo Tolstoy	"Tolstoy: *calls Shakespeare an, ?Insignificant, inartistic writer.?*
Me:? Attached is a screen cap from Arrested Development of character Gob angrily saying ?That?s my son, you pothead"	Parodic	Literary Criticism and Humor	20/05/2020	https://www.instagram.com/p/CAa9Ni0Ajmg/	5720	15	0
Instagram	Oscar Wilde 	"Oscar Wilde, describing his writing process while on his American tour (colorized, 1882):? Attached is a screencap from a John Mulaney special of him saying the line: ?I will pepper in the fact that I am gay.?"	Parodic	Identity and Creativity	15/05/2020	https://www.instagram.com/p/B_AOrlTATKy/	12403	108	0
Instagram	Homer 	"Macbeth, receiving another prophecy, and deciding to have Banquo and Fleance killed:? attached is a close-up of Adam Sandler in Uncut Gems saying ?This is how I win."	Satirical	Fate and Free Will	31/12/2019	https://www.instagram.com/p/B6veZmBg-LV/	3363	10	0
Instagram	Shakespeare	Anything Shakespeare wrote? me: is this a metaphor?		Symbolism and Interpretation	26/01/2019	https://www.instagram.com/p/BtFmHVlAeX_/	336	4	0
Facebook	Charles Dickens	"It was the best of times, it was the worst of times."	Satirical	Social Contrast	28/07/2017	https://www.facebook.com/photo.php?fbid=1611581492187357&id=169151209763733&set=a.336016016410584	838	24	241
Facebook	Earnest Hemingway	I drink to make other people more interesting	Critical	Escapism and Social Critique	9/9/2024	https://www.facebook.com/photo/?fbid=1066551032141641&set=pb.100063602625538.-2207520000	1400	55	250
Facebook	Shakespeare	Hell is empty and all the devils are here	Philosophical	Evil and Humanity	26/08/2024	https://www.facebook.com/photo.php?fbid=1056104839852927&set=pb.100063602625538.-2207520000&type=3	2200	111	523
Facebook	T.S Eliot	Most of the trouble in the world is caused by people wanting to be important	Critical	Ambition and Power	3/8/2024	https://www.facebook.com/photo.php?fbid=1038872258242852&set=pb.100063602625538.-2207520000&type=3	1400	61	398
Facebook	Virginia Woolf	"Unless I am myself, I am nobody"	Philosophical	Identity and Authenticity	18/05/2024	https://www.facebook.com/photo.php?fbid=984435050353240&set=pb.100063602625538.-2207520000&type=3	3700	53	1000
Facebook	Rabindranath Tagore	The man who has to beg for love is the most miserable of all beggars	Philosophical	Unrequited Love	22/04/2024	https://www.facebook.com/photo.php?fbid=965441422252603&set=pb.100063602625538.-2207520000&type=3	43000	959	81000
Facebook	Sylvia Plath	Outside it is warm and blue and April	Poetic	Nature and Renewal	8/4/2024	https://www.facebook.com/photo.php?fbid=955332229930189&set=pb.100063602625538.-2207520000&type=3	795	24	115
Facebook	Isaac Asimov	Education is not something you can finish	Philosophical	Lifelong Learning	7/4/2024	https://www.facebook.com/photo.php?fbid=954239973372748&set=pb.100063602625538.-2207520000&type=3	95000	716	25000
Facebook	William Butler Yeats	"There is another world, but it is in this one"	Philosophical	Parallel Worlds and Imagination	5/4/2024	https://www.facebook.com/photo.php?fbid=952846793512066&set=pb.100063602625538.-2207520000&type=3	1300	17	292
Facebook	Oscar Wilde	Be yourself; everyone else is already taken	Witty	Individuality	28/02/2024	https://www.facebook.com/photo.php?fbid=926708626125883&set=pb.100063602625538.-2207520000&type=3	704	8	163
Facebook	Shakespeare	"Shakespeare ending a play by killing the main charecters: It's an obvious ploy, I've used it before."	Satirical	Tragedy and Death	1/6/2024	https://www.facebook.com/photo.php?fbid=122148971600137798&set=pb.61554133957345.-2207520000&type=3	112	0	2
Facebook	Homer 	"You could Trojan Horse me so easily by sending a big box labeled Books to my door. Of Course I'll bring that inside despite not knowing where it came from, clearly someone simply thinks I deserve a bunch of books for no reason and you know what? They are not wrong, good on then"	Parodic	Obsession with Knowledge	24/05/2024	https://www.facebook.com/photo.php?fbid=122147158694137798&set=pb.61554133957345.-2207520000&type=3	405	15	153
Facebook	Shakespeare	"Grumpye Teenage Shakespeare: Thys is just a stage, son. ALL THE WORLD IS A STAGE, DAD. UGH"	Ironic	Adolescence and Drama	30/04/2024	https://www.facebook.com/photo.php?fbid=122141949236137798&set=pb.61554133957345.-2207520000&type=3	32	0	0
Instagram	Oscar Wilde	"Me when I?ve gotta dress up for work
ID: a Twitter post: ??I do it for the girls and the gays, that?s it.? - Oscar Wilde (when asked about his writing, 1890)"	Witty	Self-expression	2/12/2019	https://www.instagram.com/p/B5kmEqTg6el/	17041	26	0
Instagram	Mary Shelley 	"?#OTD (On This Day in) 1816 Mary Shelley's journal is full of symbols - a man on a horse, a desk, a crescent moon. We still don't know what they mean"	Philosophical	Symbolism and Mystery	5/11/2019	https://www.instagram.com/p/B4ffvDbg3O-/?img_index=1	6978	3	0
Instagram	Shakespeare	"Macbeth: No man born of a woman can kill me.
Macduff: I was a c-section though.
Macbeth:? Attached is a picture of Brian David Gilbert. He is staring at nothing, shocked, and the image is captioned as ?*realizing an unfortunate truth*?"	Satirical	Tragedy	29/10/2029	https://www.instagram.com/p/B4N6hTPgjBU/	"12,838"	18	0
